rec,matchedGroups,strength,evidenceQual,evidenceDots,textLiteral,guidelineURI,forNotWishingToConceive,groupCount
http://www.semanticweb.org/alicjamargraf/ontologies/2025/5/endometriosis#Rec8,"PatientWithEndometriomaGroup, PatientWithDeepEndometriosisGroup, PatientWithConfirmedEndometriosisGroup",weak,very low,1,"Follow-up and psychological support should be considered in women with confirmed endometriosis, particularly deep and ovarian endometriosis, although there is currently no evidence of benefit of regular long-term monitoring for early detection of recurrence, complications, or malignancy.",https://www.eshre.eu/guideline/endometriosis#Rec8,false,3
http://www.semanticweb.org/alicjamargraf/ontologies/2025/5/endometriosis#Rec21,"PatientWithConfirmedEndometriosisGroup, SymptomaticPatientGroup",weak,moderate,3,"It can be considered to prescribe women GnRH antagonists to reduce endometriosis-associated pain, although evidence is limited regarding dosage or duration of treatment.",https://www.eshre.eu/guideline/endometriosis#Rec21,true,2
http://www.semanticweb.org/alicjamargraf/ontologies/2025/5/endometriosis#Rec11,"PatientWithConfirmedEndometriosisGroup, SymptomaticPatientGroup",strong,moderate,3,"It is recommended to offer women hormone treatment (combined hormonal contraceptives, progestogens, GnRH agonists or GnRH antagonists) as one of the options to reduce endometriosis-associated pain.",https://www.eshre.eu/guideline/endometriosis#Rec11,false,2
http://www.semanticweb.org/alicjamargraf/ontologies/2025/5/endometriosis#Rec17,"PatientWithConfirmedEndometriosisGroup, SymptomaticPatientGroup",strong,moderate,3,It is recommended to prescribe women a levonorgestrel-releasing intrauterine system or an etonogestrel-releasing subdermal implant to reduce endometriosis-associated pain.,https://www.eshre.eu/guideline/endometriosis#Rec17,false,2
http://www.semanticweb.org/alicjamargraf/ontologies/2025/5/endometriosis#Rec109,"PatientWithEndometriomaGroup, PatientWithConfirmedEndometriosisGroup",strong,low,2,"Clinicians should be aware that there is epidemiological data, mostly on ovarian endometriosis, showing that complete excision of visible endometriosis may reduce the risk of ovarian cancer. The potential benefits should be weighed against the risks of surgery (morbidity, pain, and ovarian reserve).",https://www.eshre.eu/guideline/endometriosis#Rec109,false,2
http://www.semanticweb.org/alicjamargraf/ontologies/2025/5/endometriosis#Rec26,"PatientWithEndometriomaGroup, PatientWithConfirmedEndometriosisGroup",strong,low,2,"When performing surgery in women with ovarian endometrioma, clinicians should perform cystectomy instead of drainage and coagulation, as cystectomy reduces recurrence of endometrioma and endometriosis-associated pain.",https://www.eshre.eu/guideline/endometriosis#Rec26,false,2
http://www.semanticweb.org/alicjamargraf/ontologies/2025/5/endometriosis#Rec64,"PatientWithEndometriomaGroup, SymptomaticPatientGroup",strong,low,2,"When surgery is indicated in women with an endometrioma, clinicians should perform ovarian cystectomy, instead of drainage and electrocoagulation, for the secondary prevention of endometriosis-associated dysmenorrhea, dyspareunia, and non-menstrual pelvic pain. However, the risk of reduced ovarian reserve should be taken into account.",https://www.eshre.eu/guideline/endometriosis#Rec64,false,2
http://www.semanticweb.org/alicjamargraf/ontologies/2025/5/endometriosis#Rec29,"PatientWithDeepEndometriosisGroup, PatientWithConfirmedEndometriosisGroup",weak,low,2,"Clinicians can consider performing surgical removal of deep endometriosis, as it may reduce endometriosis-associated pain and improves quality of life.",https://www.eshre.eu/guideline/endometriosis#Rec29,false,2
http://www.semanticweb.org/alicjamargraf/ontologies/2025/5/endometriosis#Rec13,"PatientWithConfirmedEndometriosisGroup, SymptomaticPatientGroup",strong,low,2,"It is recommended to prescribe women a combined hormonal contraceptive (oral, vaginal ring or transdermal) to reduce endometriosis-associated dyspareunia, dysmenorrhea, and non-menstrual pain.",https://www.eshre.eu/guideline/endometriosis#Rec13,false,2
http://www.semanticweb.org/alicjamargraf/ontologies/2025/5/endometriosis#Rec14,"PatientWithConfirmedEndometriosisGroup, SymptomaticPatientGroup",weak,low,2,Women suffering from endometriosis-associated dysmenorrhea can be offered the continuous use of a combined hormonal contraceptive pill.,https://www.eshre.eu/guideline/endometriosis#Rec14,false,2
